algo,n,time,comparisons,allocations,depth
MergeSort,1000,1273400,9626,1,8
QuickSort,1000,1461100,12792,0,7
Select,1000,2223900,1974,507,1
ClosestPair,1000,11544000,9762,256,9
MergeSort,2000,254400,21209,1,9
QuickSort,2000,336900,28627,0,7
Select,2000,1379600,4037,1029,1
ClosestPair,2000,13744400,21538,512,10
MergeSort,3000,370600,34087,1,9
QuickSort,3000,506500,45734,0,8
Select,3000,718300,5967,1508,1
ClosestPair,3000,6484000,34188,1024,11
MergeSort,4000,577700,46557,1,10
QuickSort,4000,714500,65914,0,8
Select,4000,943000,8044,2034,1
ClosestPair,4000,14111000,47091,1024,11
MergeSort,5000,988700,59123,1,10
QuickSort,5000,383500,82559,0,8
Select,5000,1878700,10012,2523,1
ClosestPair,5000,9948700,61284,1928,12
MergeSort,6000,2234300,74136,1,10
QuickSort,6000,443600,101458,0,9
Select,6000,983500,11758,2958,1
ClosestPair,6000,10198500,74446,2048,12
MergeSort,7000,650200,89808,1,10
QuickSort,7000,481000,122341,0,8
Select,7000,847700,14274,3590,1
ClosestPair,7000,15630400,88280,2048,12
MergeSort,8000,1341500,101265,1,11
QuickSort,8000,587800,142245,0,8
Select,8000,1038900,16003,4023,1
ClosestPair,8000,13980300,102278,2048,12
MergeSort,9000,1189200,112908,1,11
QuickSort,9000,574500,166816,0,9
Select,9000,458000,17644,4432,1
ClosestPair,9000,18462500,117333,2856,13
MergeSort,10000,687800,128235,1,11
QuickSort,10000,759000,185597,0,8
Select,10000,487900,20453,5140,1
ClosestPair,10000,21859300,132671,3856,13
MergeSort,11000,735500,143757,1,11
QuickSort,11000,761900,206239,0,9
Select,11000,401600,21775,5468,1
ClosestPair,11000,17510500,146942,4096,13
MergeSort,12000,730200,160247,1,11
QuickSort,12000,1048000,233987,0,8
Select,12000,512800,23406,5876,1
ClosestPair,12000,24894800,160961,4096,13
MergeSort,13000,798500,176602,1,11
QuickSort,13000,883600,252851,0,9
Select,13000,410300,25471,6392,1
ClosestPair,13000,18070500,175644,4096,13
MergeSort,14000,884900,193722,1,11
QuickSort,14000,1068800,262745,0,9
Select,14000,708600,27799,6977,1
ClosestPair,14000,20398000,190621,4096,13
MergeSort,15000,861700,211940,1,11
QuickSort,15000,1032000,293433,0,9
Select,15000,487500,29557,7414,1
ClosestPair,15000,25183100,205592,4096,13
MergeSort,16000,997300,218631,1,12
QuickSort,16000,1262500,309817,0,9
Select,16000,677100,33941,8511,1
ClosestPair,16000,22405200,220686,4096,13
MergeSort,17000,980000,228126,1,12
QuickSort,17000,2176700,319582,0,10
Select,17000,727800,33743,8458,1
ClosestPair,17000,26087000,236451,4712,14
MergeSort,18000,1174000,243690,1,12
QuickSort,18000,1176100,369059,0,9
Select,18000,643800,35688,8950,1
ClosestPair,18000,27583000,252834,5712,14
MergeSort,19000,1104900,259660,1,12
QuickSort,19000,1238400,357224,0,10
Select,19000,568200,37136,9309,1
ClosestPair,19000,36592200,269153,6712,14
MergeSort,20000,1231500,276396,1,12
QuickSort,20000,1576200,390863,0,10
Select,20000,675300,39355,9867,1
ClosestPair,20000,35414200,285545,7712,14
